"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.veteransplumbingcorp.com/","https://www.veteransplumbingcorp.com/contact-us","146636","","Contact Us","200","OK","true","","","Root-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[1]/div[@id='hamburger-drawer']/div[@id='1786489610']/div/div/nav/ul/li[5]/a","Navigation","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/","https://www.veteransplumbingcorp.com/contact-us","146636","","Contact Us","200","OK","true","","","Root-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[2]/div/div/div/div/div[@id='1785387227']/nav/ul/li[5]/a","Navigation","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/","https://www.veteransplumbingcorp.com/contact-us","146636","","Call us","200","OK","true","","","Root-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='dmFirstContainer']/div/div/div/div[@id='1035621759']/div/div[@id='1744969606']/div[@id='1811833492']/p[12]/a","Content","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/","https://www.veteransplumbingcorp.com/contact-us","146636","","plumbers Boise ID","200","OK","true","","","Root-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='dmFirstContainer']/div/div/div/div[@id='1473285728']/div/div[@id='1556770203']/div[@id='1844897240']/p[@class='text-align-left'][3]/a","Content","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/","https://www.veteransplumbingcorp.com/contact-us","146636","","plumber Boise","200","OK","true","","","Root-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='dmFirstContainer']/div/div/div/div[@id='1999161698']/div/div[@id='1535112521']/div[@id='1806877197']/p[3]/a","Content","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/contact-us","https://www.veteransplumbingcorp.com/contact-us","146636","","Services","200","OK","true","","","Path-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[1]/div[@id='hamburger-drawer']/div[@id='1786489610']/div/div/nav/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/contact-us","https://www.veteransplumbingcorp.com/contact-us","146636","","Location","200","OK","true","","","Path-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[1]/div[@id='hamburger-drawer']/div[@id='1786489610']/div/div/nav/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/contact-us","https://www.veteransplumbingcorp.com/contact-us","146636","","Contact Us","200","OK","true","","","Root-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[1]/div[@id='hamburger-drawer']/div[@id='1786489610']/div/div/nav/ul/li[5]/a","Navigation","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/contact-us","https://www.veteransplumbingcorp.com/contact-us","146636","","Services","200","OK","true","","","Path-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[2]/div/div/div/div/div[@id='1785387227']/nav/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.veteransplumbingcorp.com/contact-us","https://www.veteransplumbingcorp.com/contact-us","146636","","Location","200","OK","true","","","Path-Relative","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[2]/div/div/div/div/div[@id='1785387227']/nav/ul/li[3]/a","Navigation","HTML"
